"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Barbados","BRB","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.5445","0.5539","0.6079","0.6171","0.573","0.6219","0.597","0.6512","0.6575","0.6626","0.6757","0.6599","0.6444","0.6552","0.7554","0.8197","0.8466","0.8025","0.814","0.897","0.8589","0.8347","0.8199","0.7841","0.764","0.7771","0.7755","0.8643","0.9259","0.9356","0.8558","0.8263","0.8447","0.8759","0.8763","0.8873","0.9123","0.8888","1.0205","1.0104","1.0316","0.907","0.8863","0.9997","0.9111","0.9357","0.9818","0.8562","0.9595","1.0291","0.9196","0.9042","0.928","",
"Brunei Darussalam","BRN","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","3.2077","3.0487","3.7872","5.1387","5.7927","6.2731","7.6551","8.071","8.0374","7.9591","9.3115","7.7719","8.0152","8.3416","7.8574","7.7589","7.6425","7.7473","7.811","7.8286","8.1826","8.554","8.6127","9.0345","9.4732","10.05","10.3021","10.9683","10.1746","10.5166","11.2695","11.7546","11.1809","12.492","11.6796","11.4653","15.0139","14.3618","16.6367","15.2302","14.1017","14.6275","14.4272","13.9249","13.5182","12.6931","12.9658","13.6539","14.254","13.4304","15.4755","15.3448","14.8294","",
"Bhutan","BTN","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.7302","0.7418","0.7569","0.7705","0.7851","0.7961","0.8142","0.8315","0.8561","0.8743","0.8928","0.9295","0.9594","0.9912","1.0102","1.0557","1.0831","1.1605","1.0834","1.0933","1.1608","1.1857","1.1388","1.1503","1.1971","1.4615","1.5298","1.5641","1.597","1.7042","1.6187","1.6171","1.651","1.6735","1.6853","1.8525","1.8621","1.8956","1.8318","2.1078","2.2161","2.4285","2.3763","2.4876","2.4921","2.669","2.8181","2.9793","3.2077","3.3962","3.4094","3.0571","3.0709","",
"Botswana","BWA","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","3.4561","3.5851","4.1605","4.3917","4.9886","5.5571","6.3847","6.9367","6.695","6.7813","6.9917","7.2371","7.4384","7.1537","6.906","6.6182","6.7948","6.9087","7.868","8.3134","9.316","8.3463","8.6028","8.3524","8.485","9.5175","8.6016","8.8725","9.7271","10.3801","10.7471","10.1689","9.7377","9.5105","9.456","10.1156","9.994","10.1779","10.4511","10.4058","10.1934","10.5923","9.6547","11.4755","12.3353","12.7734","11.9074","12.1103","13.0632","11.893","10.5643","11.318","12.5832","",
"Central African Republic","CAF","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","1.8104","1.8886","1.9872","2.0481","2.1764","2.23","2.3164","2.4986","2.7147","3.3177","3.5235","3.6522","6.7942","6.9149","6.5009","6.6737","7.2284","7.1208","6.9379","7.7203","7.8236","8.3363","8.3284","7.8094","8.4644","8.6838","9.0441","8.1795","9.4851","9.3414","9.5719","10.014","9.0235","10.1713","9.5396","10.289","10.3519","11.1032","11.1298","10.4917","11.1586","12.111","11.8043","11.7515","11.6457","12.0696","12.8209","12.3256","12.5915","12.5792","12.8582","13.1293","13.4482","",
"Canada","CAN","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","464.159","473.7849","497.3169","524.7518","533.7642","518.8253","530.4984","551.5862","558.4761","573.0379","578.4447","558.4993","539.4705","540.9337","562.1285","557.5976","544.0986","560.1563","594.2651","616.4185","582.1654","577.0779","593.1563","597.0651","622.5805","637.4917","654.1133","666.633","675.0356","686.0017","710.2549","700.2892","723.2087","741.6931","737.7851","745.2121","742.8048","776.9718","750.0267","708.8918","726.1349","742.2145","744.5577","755.6255","768.7587","764.535","758.5757","772.8969","787.6513","775.3764","711.4686","733.0817","756.8101","",
"Central Europe and the Baltics","CEB","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","1235.6389","1255.983","1288.0916","1341.5705","1359.3784","1417.3084","1475.1471","1524.1566","1601.1512","1627.291","1624.3109","1560.7596","1583.3274","1588.94","1609.6665","1614.3691","1621.8873","1646.5843","1636.1358","1580.7126","1405.6633","1288.4663","1191.5742","1153.8548","1121.0145","1119.8373","1147.1695","1119.4637","1048.7669","996.2999","987.4263","997.2879","983.8637","1013.1772","1014.2619","1011.4407","1033.6193","1041.8539","1017.4458","940.589","973.576","976.415","950.344","924.243","904.0669","916.0751","927.0373","959.0862","952.3865","913.2709","863.4529","921.5559","910.4928","",
"Switzerland","CHE","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","51.2026","53.1566","53.8966","57.8721","53.1077","50.563","52.5111","53.0914","54.3742","53.2125","54.0665","51.4571","49.1731","53.3523","52.9501","56.1109","56.0497","54.294","54.2317","54.0888","54.8435","57.1124","56.8098","54.1373","53.0546","53.8681","54.4245","53.0057","54.5175","54.6518","53.8769","55.4102","53.7699","54.9901","55.6163","56.3353","55.7437","53.7698","55.3543","53.4859","55.2502","51.2677","52.6291","53.8715","50.2501","49.6037","50.1041","49.2162","47.9105","47.7434","45.1979","45.9799","45.5638","",
"Channel Islands","CHI","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","51.5331","53.8095","56.2716","55.4717","53.7965","50.8631","51.1368","49.2979","49.8032","52.4279","55.0222","54.6622","51.1461","51.1128","52.2751","50.2339","50.0642","50.6375","55.0796","60.6671","60.7433","59.3349","61.7418","64.2607","68.0714","73.305","80.5956","87.4272","87.9952","91.6124","88.1942","86.6239","87.0626","89.167","94.7952","95.5475","96.8911","105.2484","110.327","105.9062","107.446","117.8397","121.6725","123.4324","115.9081","121.1245","126.408","128.4473","130.4636","136.5313","128.9649","140.656","137.0112","",
